Term	TF	IDF
doctype	0.000275	0.000000
html	0.000549	0.000000
ru	0.000549	0.000000
head	0.000275	0.000000
meta	0.011538	0.000000
title	0.000824	0.000000
вафли	0.007143	1.791759
с	0.009615	0.000000
какао	0.006044	0.547435
бесплатной	0.000824	0.000000
доставкой	0.000824	0.000000
на	0.003297	0.000000
дом	0.000824	0.000000
из	0.002473	0.000000
вкусвилл	0.003846	0.000000
москва	0.000824	0.000000
и	0.006319	0.000000
вся	0.000275	0.000000
россия	0.000824	0.000000
description	0.000824	0.000000
купить	0.000549	0.000000
всего	0.000549	0.000000
за	0.001099	0.000000
часа	0.000824	0.000000
в	0.004670	0.000000
городе	0.000549	0.000000
других	0.000549	0.000000
городах	0.000549	0.000000
россии	0.000549	0.000000
также	0.000549	0.000000
можно	0.000824	0.000000
оформить	0.000549	0.000000
самовывоз	0.000824	0.000000
забрать	0.000549	0.000000
собранный	0.000549	0.000000
заказ	0.000824	0.000000
через	0.000824	0.000000
минут	0.001099	0.000000
цены	0.000549	0.000000
отзывы	0.001648	0.000000
о	0.002198	0.000000
товарах	0.000549	0.000000
от	0.000824	0.000000
наших	0.000549	0.000000
покупателей	0.000824	0.000000
действующие	0.000549	0.000000
акции	0.001374	0.000000
официальном	0.000549	0.000000
сайте	0.000549	0.000000
viewport	0.000275	0.000000
yes	0.000549	0.000000
ffffff	0.000549	0.000000
p	0.000275	0.000000
link	0.005495	0.000000
manifest	0.000275	0.000000
icon	0.001923	0.000000
shortcut	0.000275	0.000000
preload	0.000824	0.000000
font	0.000549	0.000000
anonymous	0.000549	0.000000
stylesheet	0.001099	0.000000
amp	0.002747	0.000000
script	0.008242	0.000000
true	0.013462	0.000000
function	0.001923	0.000000
w	0.000275	0.000000
d	0.000275	0.000000
n	0.003846	0.000000
var	0.012363	0.000000
cl	0.003846	0.000000
ht	0.000549	0.000000
htc	0.001099	0.000000
undefined	0.000824	0.000000
if	0.004945	0.000000
return	0.000549	0.000000
ua	0.003022	0.000000
ipad	0.000275	0.000000
iphone	0.000275	0.000000
else	0.001923	0.000000
window	0.000824	0.000000
document	0.002198	0.000000
navigator	0.000275	0.000000
image	0.001648	0.000000
http	0.022802	0.000000
og	0.001923	0.000000
url	0.001099	0.000000
type	0.000549	0.000000
website	0.000275	0.000000
locale	0.000275	0.000000
canonical	0.000275	0.000000
body	0.000275	0.000000
div	0.153846	0.000000
cookie	0.000275	0.000000
button	0.020055	0.000000
span	0.035440	0.000000
svgicon	0.015659	0.000000
svg	0.022527	0.000000
use	0.009341	0.000000
xlink	0.009341	0.000000
закрыть	0.001099	0.000000
мы	0.000549	0.000000
используем	0.000275	0.000000
cooky	0.000275	0.000000
чтобы	0.000824	0.000000
