Term	TF	IDF
doctype	0.000264	0.000000
html	0.000528	0.000000
ru	0.000528	0.000000
head	0.000264	0.000000
meta	0.010551	0.000000
title	0.000791	0.000000
батончик	0.005276	1.014055
рис	0.004484	2.833213
с	0.007122	0.000000
солёной	0.004748	3.931826
карамелью	0.004221	2.833213
в	0.009232	0.000000
шок	0.003693	3.931826
бесплатной	0.000791	0.000000
доставкой	0.000791	0.000000
на	0.003693	0.000000
дом	0.000791	0.000000
из	0.002374	0.000000
вкусвилл	0.003693	0.000000
москва	0.000791	0.000000
и	0.008177	0.000000
вся	0.000264	0.000000
россия	0.000791	0.000000
description	0.000791	0.000000
купить	0.000528	0.000000
всего	0.000528	0.000000
за	0.001055	0.000000
часа	0.000791	0.000000
городе	0.000528	0.000000
других	0.000528	0.000000
городах	0.000528	0.000000
россии	0.000528	0.000000
также	0.000528	0.000000
можно	0.000791	0.000000
оформить	0.000528	0.000000
самовывоз	0.000791	0.000000
забрать	0.000528	0.000000
собранный	0.000528	0.000000
заказ	0.000791	0.000000
через	0.000791	0.000000
минут	0.001055	0.000000
цены	0.000528	0.000000
отзывы	0.001583	0.000000
о	0.002110	0.000000
товарах	0.000528	0.000000
от	0.001055	0.000000
наших	0.000528	0.000000
покупателей	0.000791	0.000000
действующие	0.000528	0.000000
акции	0.001319	0.000000
официальном	0.000528	0.000000
сайте	0.000528	0.000000
viewport	0.000264	0.000000
yes	0.000528	0.000000
ffffff	0.000528	0.000000
p	0.000264	0.000000
link	0.005276	0.000000
manifest	0.000264	0.000000
icon	0.001846	0.000000
shortcut	0.000264	0.000000
preload	0.000791	0.000000
font	0.000528	0.000000
anonymous	0.000528	0.000000
stylesheet	0.001055	0.000000
amp	0.002638	0.000000
script	0.007913	0.000000
true	0.012398	0.000000
function	0.001846	0.000000
w	0.000264	0.000000
d	0.000264	0.000000
n	0.003693	0.000000
var	0.011870	0.000000
cl	0.003693	0.000000
ht	0.000528	0.000000
htc	0.001055	0.000000
undefined	0.000791	0.000000
if	0.004748	0.000000
return	0.000528	0.000000
ua	0.002902	0.000000
ipad	0.000264	0.000000
iphone	0.000264	0.000000
else	0.001846	0.000000
window	0.000791	0.000000
document	0.002110	0.000000
navigator	0.000264	0.000000
image	0.001055	0.000000
http	0.019784	0.000000
og	0.001846	0.000000
url	0.001055	0.000000
type	0.000528	0.000000
website	0.000264	0.000000
locale	0.000264	0.000000
canonical	0.000264	0.000000
body	0.000264	0.000000
div	0.146136	0.000000
cookie	0.000264	0.000000
button	0.019256	0.000000
span	0.034028	0.000000
svgicon	0.015036	0.000000
svg	0.021630	0.000000
use	0.008969	0.000000
xlink	0.008969	0.000000
закрыть	0.001055	0.000000
мы	0.000528	0.000000
используем	0.000264	0.000000
cooky	0.000264	0.000000
чтобы	0.000791	0.000000
сайт	0.000264	0.000000
был	0.000264	0.000000
лучше	0.000264	0.000000
a	0.029016	0.000000
green	0.000264	0.000000
bold	0.000264	0.000000
nobr	0.001583	0.000000
что	0.000791	0.000000
это	0.000528	0.000000
noscript	0.000264	0.000000
iframe	0.000264	0.000000
display	0.005012	0.000000
none	0.010024	0.000000
visibility	0.000528	0.000000
hidden	0.012925	0.000000
img	0.016882	0.000000
position	0.003429	0.000000
absolute	0.001319	0.000000
left	0.001583	0.000000
fixed	0.001055	0.000000
getrecaptchatoken	0.000264	0.000000
inline	0.000264	0.000000
invisible	0.000264	0.000000
layout	0.000264	0.000000
header	0.000791	0.000000
headertop	0.000264	0.000000
container	0.005012	0.000000
headeratdtoggler	0.000264	0.000000
javascript	0.007386	0.000000
void	0.007386	0.000000
выберите	0.001055	0.000000
способ	0.000528	0.000000
nbsp	0.031654	0.000000
время	0.000528	0.000000
доставки	0.000528	0.000000
path	0.014508	0.000000
rtext	0.024532	0.000000
headertopmenu	0.000264	0.000000
