Term	TF	IDF
doctype	0.000259	0.000000
html	0.000517	0.000000
ru	0.000517	0.000000
head	0.000259	0.000000
meta	0.010600	0.000000
title	0.000776	0.000000
десерт	0.005429	1.014055
тирамису	0.005429	3.238678
с	0.009307	0.000000
клубникой	0.004912	3.238678
зам	0.004912	3.015535
nbsp	0.035936	0.000000
г	0.006205	0.000000
бесплатной	0.000776	0.000000
доставкой	0.000776	0.000000
на	0.003619	0.000000
дом	0.001034	0.000000
из	0.001810	0.000000
вкусвилл	0.003619	0.000000
москва	0.001034	0.000000
и	0.007497	0.000000
вся	0.000259	0.000000
россия	0.000776	0.000000
description	0.000776	0.000000
купить	0.000517	0.000000
всего	0.000517	0.000000
за	0.001034	0.000000
часа	0.000776	0.000000
в	0.005688	0.000000
городе	0.000517	0.000000
других	0.000517	0.000000
городах	0.000517	0.000000
россии	0.000517	0.000000
также	0.000517	0.000000
можно	0.000776	0.000000
оформить	0.000517	0.000000
самовывоз	0.000776	0.000000
забрать	0.000517	0.000000
собранный	0.000517	0.000000
заказ	0.000776	0.000000
через	0.000776	0.000000
минут	0.001034	0.000000
цены	0.000517	0.000000
отзывы	0.001551	0.000000
о	0.002068	0.000000
товарах	0.000517	0.000000
от	0.001551	0.000000
наших	0.000517	0.000000
покупателей	0.000776	0.000000
действующие	0.000517	0.000000
акции	0.001293	0.000000
официальном	0.000517	0.000000
сайте	0.000517	0.000000
viewport	0.000259	0.000000
yes	0.000517	0.000000
ffffff	0.000517	0.000000
p	0.000259	0.000000
link	0.005171	0.000000
manifest	0.000259	0.000000
icon	0.001810	0.000000
shortcut	0.000259	0.000000
preload	0.000776	0.000000
font	0.000517	0.000000
anonymous	0.000517	0.000000
stylesheet	0.001034	0.000000
amp	0.002585	0.000000
script	0.007756	0.000000
true	0.012410	0.000000
function	0.001810	0.000000
w	0.000259	0.000000
d	0.000259	0.000000
n	0.003619	0.000000
var	0.011634	0.000000
cl	0.003619	0.000000
ht	0.000517	0.000000
htc	0.001034	0.000000
undefined	0.000776	0.000000
if	0.004654	0.000000
return	0.000517	0.000000
ua	0.002844	0.000000
ipad	0.000259	0.000000
iphone	0.000259	0.000000
else	0.001810	0.000000
window	0.000776	0.000000
document	0.002068	0.000000
navigator	0.000259	0.000000
image	0.001293	0.000000
http	0.020683	0.000000
og	0.001810	0.000000
url	0.001034	0.000000
type	0.000517	0.000000
website	0.000259	0.000000
locale	0.000259	0.000000
canonical	0.000259	0.000000
body	0.000259	0.000000
div	0.144261	0.000000
cookie	0.000259	0.000000
button	0.018873	0.000000
span	0.033351	0.000000
svgicon	0.014736	0.000000
svg	0.021200	0.000000
use	0.008790	0.000000
xlink	0.008790	0.000000
закрыть	0.001034	0.000000
мы	0.001551	0.000000
используем	0.000259	0.000000
cooky	0.000259	0.000000
чтобы	0.001810	0.000000
сайт	0.000259	0.000000
был	0.000259	0.000000
лучше	0.000259	0.000000
a	0.028697	0.000000
green	0.000259	0.000000
bold	0.000259	0.000000
nobr	0.001551	0.000000
что	0.001293	0.000000
это	0.000517	0.000000
noscript	0.000259	0.000000
iframe	0.000259	0.000000
display	0.004912	0.000000
none	0.009824	0.000000
visibility	0.000517	0.000000
hidden	0.012668	0.000000
img	0.017322	0.000000
position	0.003361	0.000000
absolute	0.001293	0.000000
left	0.001551	0.000000
fixed	0.001034	0.000000
getrecaptchatoken	0.000259	0.000000
inline	0.000259	0.000000
invisible	0.000259	0.000000
layout	0.000259	0.000000
header	0.000776	0.000000
headertop	0.000259	0.000000
container	0.004912	0.000000
headeratdtoggler	0.000259	0.000000
javascript	0.007239	0.000000
void	0.007239	0.000000
выберите	0.001034	0.000000
способ	0.001034	0.000000
время	0.000517	0.000000
доставки	0.000517	0.000000
path	0.014219	0.000000
rtext	0.023785	0.000000
headertopmenu	0.000259	0.000000
headermenuclickjobvacancys	0.000259	0.000000
вакансии	0.000517	0.000000
headermenuclickmedia	0.000259	0.000000
project	0.001034	0.000000
журнал	0.000259	0.000000
щи	0.000776	0.000000
магазины	0.000259	0.000000
headerdropdown	0.001034	0.000000
dropdown	0.000259	0.000000
проекты	0.000259	0.000000
menu	0.000259	0.000000
меню	0.000776	0.000000
headermain	0.000259	0.000000
headerblogo	0.000259	0.000000
vvheaderburgerstandart	0.000259	0.000000
headermenuburger	0.000259	0.000000
сайта	0.000517	0.000000
open	0.000259	0.000000
headerclicklogo	0.000259	0.000000
subnav	0.000259	0.000000
headermaincatalogbtn	0.000259	0.000000
gotogoodsfromdesktopheader	0.000259	0.000000
каталог	0.001551	0.000000
headersearchmobiletoggler	0.000259	0.000000
найти	0.000517	0.000000
