Term	TF	IDF
любимый	0.000734	0.000000
продукт	0.000978	0.000000
ellipse	0.000489	0.000000
rect	0.002690	0.000000
matrix	0.000245	0.000000
получать	0.000245	0.000000
персональных	0.000245	0.000000
скидок	0.000245	0.000000
каждый	0.000245	0.000000
день	0.000245	0.000000
пользоваться	0.000245	0.000000
скидками	0.000245	0.000000
программы	0.000245	0.000000
оформлять	0.000245	0.000000
возврат	0.000245	0.000000
онлайн	0.000245	0.000000
headermaindmenucontainer	0.000245	0.000000
headermaindmenu	0.000245	0.000000
opacity	0.001223	0.000000
visible	0.000245	0.000000
headerbottomrel	0.000245	0.000000
headerbottom	0.000245	0.000000
headerbottombtn	0.003179	0.000000
headermenuclickbonuses	0.000489	0.000000
доставка	0.001467	0.000000
оплата	0.000734	0.000000
карта	0.000734	0.000000
headerlevelprodssetwrp	0.000245	0.000000
headerlevelprodsset	0.000245	0.000000
topmenu	0.000245	0.000000
category	0.000245	0.000000
headermenuclickcatalog	0.000245	0.000000
headermenuclicksladosti	0.000245	0.000000
сладости	0.000978	0.000000
десерты	0.001467	0.000000
headermenuclickkulinaria	0.000245	0.000000
готовая	0.000245	0.000000
еда	0.000245	0.000000
бизнесу	0.000245	0.000000
headermenuclickcards	0.000245	0.000000
подарочные	0.000489	0.000000
карты	0.000489	0.000000
prev	0.000245	0.000000
next	0.000245	0.000000
headermenumorebtn	0.000245	0.000000
headerbottomaddit	0.000245	0.000000
main	0.000245	0.000000
content	0.000489	0.000000
pageheader	0.000245	0.000000
breadcrumb	0.000245	0.000000
itemscope	0.002690	0.000000
nav	0.001223	0.000000
itemlistelement	0.001223	0.000000
главная	0.000489	0.000000
item	0.000978	0.000000
name	0.002690	0.000000
товаров	0.000489	0.000000
пирожные	0.000489	1.292768
productfull	0.000245	0.000000
section	0.000489	0.000000
fresh	0.000245	0.000000
sku	0.000245	0.000000
brand	0.000245	0.000000
классические	0.000489	3.526361
французские	0.000489	3.931826
виде	0.000489	3.931826
сэндвича	0.000489	4.624973
выпеченные	0.000489	3.931826
нежной	0.000489	3.238678
миндальной	0.000734	3.238678
муки	0.000734	1.985915
них	0.000489	4.624973
есть	0.000734	0.000000
всё	0.000489	3.238678
так	0.000734	0.000000
